Plugin,Menu,Section,Type,English,Japanese
"Pawprint","","","","42 湖畔眼镜蛇##monster42","42 レイクサイドコブラ ##monster42"
"Pawprint","","","","43 海德拉##monster43","43 ヒドラ##monster43"
"Pawprint","","","","44 虻蜻蜓##monster44","44 蜻蜿蜃##monster44"
"Pawprint","","","","45 腐坏贪吃鬼##monster45","45 堕落した暴食者 ##monster45"
"Pawprint","","","","46 祖##monster46",""
"Pawprint","","","","47 冰锥万迪尔##monster47","47 アイスピック ワンディール ##monster47"
"Pawprint","","","","48 真红龙虾##monster48","48 リアルレッドロブスター ##monster48"
"Pawprint","","","","49 大王花##monster49","49 ラフレシア ##monster49"
"Pawprint","","","","50 贝希摩斯王##monster50",""
"Pawprint","","","","7 / 7 件",""
"Pawprint","","","","AutoDuty · IPC 不可用或版本不匹配：IpcNotReadyError","AutoDuty · IPC が利用できないか、バージョンが一致しません: IpcNotReadyError"
"Pawprint","","","","AutoDuty · 按需 · 待配置","AutoDuty · オンデマンド · 構成する必要があります"
"Pawprint","","","","BNpcName · 0 项","BNpcName · 0 件"
"Pawprint","","","","BossMod · 当前预设：无（或多个）","BossMod · 現在のプリセット: なし (またはそれ以上)"
"Pawprint","","","","Lifestream · IPC 不可用或版本不匹配：IpcNotReadyError","Lifestream · IPC が利用できないか、バージョンが一致しません: IpcNotReadyError"
"Pawprint","","","","Lifestream · 必需 · 待配置","Lifestream · 必須 · 構成する必要があります"
"Pawprint","","","","NameId",""
"Pawprint","","","","OMNI · 未认证","OMNI · 認定されていません"
"Pawprint","","","","Pawprint 0.5.12",""
"Pawprint","","","","Prome GreenMove · IPC 不可用或版本不匹配：IpcNotReadyError","Prome GreenMove · IPC が利用できないか、バージョンが一致していません: IpcNotReadyError"
"Pawprint","","","","PromeRotation · IPC 不可用或版本不匹配：IpcNotReadyError","PromeRotation · IPC が利用できないか、バージョンが一致していません: IpcNotReadyError"
"Pawprint","","","","vnavmesh · 必需 · 已就绪","vnavmesh · 必須 · 準備完了"
"Pawprint","","","","vnavmesh · 网格就绪","vnavmesh · グリッド対応"
"Pawprint","","","","≡ 1级完美食料","≡ レベル1の完全食品"
"Pawprint","","","","≡ 1级魔兽复活药","≡ レベル1のウォークラフト復活ポーション"
"Pawprint","","","","≡ 1级魔兽恢复药","≡ レベル1のウォークラフト回復ポーション"
"Pawprint","","","","≡ 1级魔兽抗失明药","≡ レベル 1 ウォークラフトの失明防止薬"
"Pawprint","","","","≡ 1级魔兽抗毒药","≡ レベル 1 ウォークラフト対毒"
"Pawprint","","","","≡ 1级魔兽抗睡眠药","≡ レベル 1 ウォークラフト抗睡眠薬"
"Pawprint","","","","≡ 1级魔兽抗石化药","≡ レベル 1 ウォークラフト 抗石油化学薬品"
"Pawprint","","","","≡ 1级魔兽抗麻痹药","≡ レベル 1 ウォークラフト抗麻痺薬"
"Pawprint","","","","≡ 1级魔兽耐冰药","≡ レベル 1 ウォークラフトの氷耐性ポーション"
"Pawprint","","","","≡ 1级魔兽耐土药","≡ レベル 1 ウォークラフトの地球耐性薬"
"Pawprint","","","","≡ 1级魔兽耐水药","≡ レベル 1 ウォークラフト耐水ポーション"
"Pawprint","","","","≡ 1级魔兽耐火药","≡ レベル 1 ウォークラフト耐火粉末"
"Pawprint","","","","≡ 1级魔兽耐雷药","≡ レベル 1 ウォークラフト サンダー耐性"
"Pawprint","","","","≡ 1级魔兽耐风药","≡ レベル 1 ウォークラフトの風耐性ポーション"
"Pawprint","","","","≡ 1级魔兽药粉","≡ レベル1のウォークラフトパウダー"
"Pawprint","","","","≡ 2级完美食料","≡ レベル2の完全食品"
"Pawprint","","","","≡ 2级魔兽复活药","≡ レベル 2 ウォークラフト復活ポーション"
"Pawprint","","","","≡ 2级魔兽恢复药","≡ レベル 2 ウォークラフト回復ポーション"
"Pawprint","","","","≡ 2级魔兽抗失明药","≡ レベル 2 ウォークラフトの失明防止薬"
"Pawprint","","","","≡ 2级魔兽抗毒药","≡ レベル 2 ウォークラフト対毒"
"Pawprint","","","","≡ 2级魔兽抗睡眠药","≡ レベル 2 ウォークラフト抗睡眠薬"
"Pawprint","","","","≡ 2级魔兽抗石化药","≡ レベル 2 ウォークラフト 抗石油化学薬品"
"Pawprint","","","","≡ 2级魔兽抗麻痹药","≡ レベル 2 ウォークラフト抗麻痺薬"
"Pawprint","","","","≡ 2级魔兽耐冰药","≡ レベル 2 ウォークラフトの氷耐性ポーション"
"Pawprint","","","","≡ 2级魔兽耐土药","≡ レベル 2 ウォークラフト アース耐性薬"
"Pawprint","","","","≡ 2级魔兽耐水药","≡ レベル 2 ウォークラフト耐水ポーション"
"Pawprint","","","","≡ 2级魔兽耐火药","≡ レベル 2 ウォークラフト耐火粉末"
"Pawprint","","","","≡ 2级魔兽耐雷药","≡ レベル 2 ウォークラフト サンダー耐性"
"Pawprint","","","","≡ 2级魔兽耐风药","≡ レベル 2 ウォークラフトの風耐性ポーション"
"Pawprint","","","","≡ 2级魔兽药粉","≡ レベル 2 ウォークラフトパウダー"
"Pawprint","","","","≡ 3级魔兽恢复药","≡ レベル 3 ウォークラフト回復ポーション"
"Pawprint","","","","≡ 3级魔兽药粉","≡ レベル3のウォークラフトパウダー"
"Pawprint","","","","≡ 4级魔兽恢复药","≡ レベル 4 ウォークラフト回復ポーション"
"Pawprint","","","","≡ 体力腰带","≡ 強度ベルト"
"Pawprint","","","","≡ 冰之牙","≡ アイスファング"
"Pawprint","","","","≡ 力量护臂","≡ 力のアームガード"
"Pawprint","","","","≡ 加速腰带","≡ 加速ベルト"
"Pawprint","","","","≡ 原力之盾","≡ フォースシールド"
"Pawprint","","","","≡ 反射之书","≡ 反省の書"
"Pawprint","","","","≡ 吸血鬼之牙","≡ ヴァンパイアの牙"
"Pawprint","","","","≡ 商人上衣",""
"Pawprint","","","","≡ 商人之眼","≡ 商人の目"
"Pawprint","","","","≡ 商人帽子",""
"Pawprint","","","","≡ 商人靴",""
"Pawprint","","","","≡ 回唤兽笛","≡ コールバック獣の笛"
"Pawprint","","","","≡ 土之牙","≡ アースファング"
"Pawprint","","","","≡ 土地盾",""
"Pawprint","","","","≡ 坚守戒指","≡ リングに固執する"
"Pawprint","","","","≡ 大师盾","≡ マスターシールド"
"Pawprint","","","","≡ 天使白衣",""
"Pawprint","","","","≡ 奇仙子莓奶酪","≡ フェアリーベリーチーズ"
"Pawprint","","","","≡ 奇伞蘑","≡ キノコ"
"Pawprint","","","","≡ 奇农家奶酪","≡ チーノンファミリーチーズ"
"Pawprint","","","","≡ 奇吐司","≡ チートースト"
"Pawprint","","","","≡ 奇圣水","≡ 奇妙な聖水"
"Pawprint","","","","≡ 奇奶油奶酪","≡ 奇妙なクリームチーズ"
"Pawprint","","","","≡ 奇山莓","≡ チーラズベリー"
"Pawprint","","","","≡ 奇柠檬","≡ 奇妙なレモン"
"Pawprint","","","","≡ 奇橙汁","≡ チーオレンジジュース"
"Pawprint","","","","≡ 奇水","≡ 秋水"
"Pawprint","","","","≡ 奇汁液","≡ 奇妙なジュース"
"Pawprint","","","","≡ 奇沙蚕","≡ チーネイカイコ"
"Pawprint","","","","≡ 奇洋葱","≡ 奇妙な玉ねぎ"
"Pawprint","","","","≡ 奇激昂油",""
"Pawprint","","","","≡ 奇激昂液",""
"Pawprint","","","","≡ 奇炸鱼饼","≡ かまぼこのチーフライ"
"Pawprint","","","","≡ 奇烤串","≡ チーケバブ"
"Pawprint","","","","≡ 奇牛奶","≡ チーミルク"
"Pawprint","","","","≡ 奇牛肝菌","≡ 奇跡のポルチーニ"
"Pawprint","","","","≡ 奇牡蛎",""
"Pawprint","","","","≡ 奇狼蛛","≡ 奇妙なオオカミグモ"
"Pawprint","","","","≡ 奇玉米面包","≡ 奇妙なコーンブレッド"
"Pawprint","","","","≡ 奇番茄","≡ 奇妙なトマト"
"Pawprint","","","","≡ 奇白松露","≡ 極上の白トリュフ"
"Pawprint","","","","≡ 奇白蝎","≡ チーバイスコーピオン"
"Pawprint","","","","≡ 奇百合","≡ チー・リリー"
"Pawprint","","","","≡ 奇盐","≡ 不思議な塩"
"Pawprint","","","","≡ 奇神仙鱼","≡ 奇妙なエンゼルフィッシュ"
"Pawprint","","","","≡ 奇粘液","≡ 奇妙なスライム"
"Pawprint","","","","≡ 奇糖浆","≡ 奇妙なシロップ"
"Pawprint","","","","≡ 奇红壳蛋","≡ 奇妙な赤い卵"
"Pawprint","","","","≡ 奇肉","≡ 奇妙な肉"
"Pawprint","","","","≡ 奇肉排","≡ 奇数ポークステーキ"
"Pawprint","","","","≡ 奇胡萝卜","≡ 奇妙なニンジン"
"Pawprint","","","","≡ 奇花茶","≡ 斉華茶"
"Pawprint","","","","≡ 奇莴苣","≡ ワンダーレタス"
"Pawprint","","","","≡ 奇菠萝汁","≡ Qiパイナップルジュース"
"Pawprint","","","","≡ 奇葡萄","≡ チーグレープ"
"Pawprint","","","","≡ 奇葡萄汁",""
"Pawprint","","","","≡ 奇蓝纹奶酪","≡ 奇妙なブルーチーズ"
"Pawprint","","","","≡ 奇蘑菇","≡ 奇妙なキノコ"
"Pawprint","","","","≡ 奇蛋",""
"Pawprint","","","","≡ 奇蜂巢","≡ 奇妙な蜂の巣"
"Pawprint","","","","≡ 奇蜂蜜",""
"Pawprint","","","","≡ 奇酸奶昔",""
"Pawprint","","","","≡ 奇颠茄","≡ ベラドンナ"
"Pawprint","","","","≡ 奇风茄","≡ キマンガン"
"Pawprint","","","","≡ 奇香橙",""
"Pawprint","","","","≡ 奇香蕉","≡ チーバナナ"
"Pawprint","","","","≡ 奇高贵鲜血","≡ 斉の貴族の血"
"Pawprint","","","","≡ 奇鱼籽","≡ 奇妙な魚卵"
"Pawprint","","","","≡ 奇鲜血","≡ 奇妙な血"
"Pawprint","","","","≡ 奇鲱鱼","≡ 奇妙なニシン"
"Pawprint","","","","≡ 奇鲽鱼","≡ 奇妙なガレイ"
"Pawprint","","","","≡ 奇鳎","≡ チーソラ"
"Pawprint","","","","≡ 奇黄壳蛋","≡ 奇妙な黄色い殻の卵"
"Pawprint","","","","≡ 奇黑松露","≡ 極上の黒トリュフ"
"Pawprint","","","","≡ 奇黑蝎","≡ 奇妙な黒蠍"
"Pawprint","","","","≡ 女帝飞虫的薄翼发饰","≡ 皇后飛翔昆虫の薄羽ヘアアクセサリー"
"Pawprint","","","","≡ 寒冰盾","≡ アイスシールド"
"Pawprint","","","","≡ 幻影背心","≡ ファントムベスト"
"Pawprint","","","","≡ 忍者手甲",""
"Pawprint","","","","≡ 忍者服",""
"Pawprint","","","","≡ 忍者眼带",""
"Pawprint","","","","≡ 恶魔头盔","≡ 鬼の兜"
"Pawprint","","","","≡ 恶魔铠甲","≡ デーモンアーマー"
"Pawprint","","","","≡ 战士圆盾","≡ ウォリアーバックラー"
"Pawprint","","","","≡ 时之沙","≡ 時の砂"
"Pawprint","","","","≡ 星之沙","≡ 星の砂"
"Pawprint","","","","≡ 星极上衣","≡ 興吉トップ"
"Pawprint","","","","≡ 星极戒指","≡ スターリング"
"Pawprint","","","","≡ 星极手镯","≡ スターブレスレット"
"Pawprint","","","","≡ 替身戒指","≡ スタンドインリング"
"Pawprint","","","","≡ 死神铠甲",""
"Pawprint","","","","≡ 水之牙","≡ 水の牙"
"Pawprint","","","","≡ 水流盾",""
"Pawprint","","","","≡ 治愈戒指","≡ ヒーリングリング"
"Pawprint","","","","≡ 深红缎带","≡ 深紅のリボン"
"Pawprint","","","","≡ 源氏之护手","≡ 源氏の小手"
"Pawprint","","","","≡ 源氏之盾",""
"Pawprint","","","","≡ 源氏之铠",""
"Pawprint","","","","≡ 火之牙","≡ 炎の牙"
"Pawprint","","","","≡ 火焰匕首","≡ フレイムダガー"
"Pawprint","","","","≡ 火焰盾","≡ フレイムシールド"
"Pawprint","","","","≡ 灵极上衣","≡ 霊基トップ"
"Pawprint","","","","≡ 灵极戒指","≡ リンジーリング"
"Pawprint","","","","≡ 灵极手镯","≡ リンジーブレスレット"
"Pawprint","","","","≡ 烈风盾","≡ ゲイルシールド"
"Pawprint","","","","≡ 烈风铠甲","≡ ゲイルアーマー"
"Pawprint","","","","≡ 烈风面罩","≡ ゲイルマスク"
"Pawprint","","","","≡ 猛兽短刀","≡ ビーストダガー"
"Pawprint","","","","≡ 猛兽耳饰","≡ 野獣のイヤリング"
"Pawprint","","","","≡ 猛兽面具","≡ ビーストマスク"
"Pawprint","","","","≡ 理性之杖","≡ 理性のロッド"
"Pawprint","","","","≡ 盗贼上衣","≡ 泥棒のトップ"
"Pawprint","","","","≡ 盗贼之眼","≡ 盗賊の目"
"Pawprint","","","","≡ 盗贼匕首","≡ 盗賊のダガー"
"Pawprint","","","","≡ 盗贼手套","≡ 盗賊の手袋"
"Pawprint","","","","≡ 盗贼靴","≡ 泥棒ブーツ"
"Pawprint","","","","≡ 神秘面纱","≡ ミステリー"
"Pawprint","","","","≡ 神秘鞋","≡ ミステリーシューズ"
"Pawprint","","","","≡ 秘银护手","≡ ミスリルガントレット"
"Pawprint","","","","≡ 秘银足铠","≡ ミスリルフットアーマー"
"Pawprint","","","","≡ 秘银铠甲","≡ ミスリルアーマー"
"Pawprint","","","","≡ 绿色贝雷帽","≡ グリーンベレー"
"Pawprint","","","","≡ 缠冰斧",""
"Pawprint","","","","≡ 缠土斧",""
"Pawprint","","","","≡ 缠头带","≡ カチューシャ"
"Pawprint","","","","≡ 缠水斧",""
"Pawprint","","","","≡ 缠火斧",""
"Pawprint","","","","≡ 缠雷斧",""
"Pawprint","","","","≡ 缠风斧",""
"Pawprint","","","","≡ 胆小者的匕首","≡ 気の弱い人のための短剣"
"Pawprint","","","","≡ 英雄王冠",""
"Pawprint","","","","≡ 荆棘铠甲","≡ いばらの鎧"
"Pawprint","","","","≡ 药师腰包","≡ 薬剤師のベルトバッグ"
"Pawprint","","","","≡ 退魔盾",""
"Pawprint","","","","≡ 重斧",""
"Pawprint","","","","≡ 野生头冠","≡ ワイルドティアラ"
"Pawprint","","","","≡ 钢刺之书","≡ 鋼鉄の棘の書"
"Pawprint","","","","≡ 钢铁铠甲","≡ 鋼鉄の鎧"
"Pawprint","","","","≡ 银框眼镜","≡ シルバーフレームのメガネ"
"Pawprint","","","","≡ 铸魔之书","≡ 鍛えられた悪魔の書"
"Pawprint","","","","≡ 闪躲之书","≡ ドッジの本"
"Pawprint","","","","≡ 闪雷斧",""
"Pawprint","","","","≡ 闪雷铠","≡ ライトニングアーマー"
"Pawprint","","","","≡ 雷之牙","≡サンダーファング"
"Pawprint","","","","≡ 风之牙","≡ 風の牙"
"Pawprint","","","","≡ 高昂戒指","≡ 元気の出るリング"
"Pawprint","","","","≡ 魔兽刚力猛药","≡ ウォークラフト ストロングポーション"
"Pawprint","","","","≡ 魔兽刚力药","≡ ウォークラフト強化ポーション"
"Pawprint","","","","≡ 魔兽加速药","≡ World of Warcraft 加速ポーション"
"Pawprint","","","","≡ 魔兽吸血药","≡ ウォークラフト ヴァンパイアポーション"
"Pawprint","","","","≡ 魔兽恢复药套装","≡ ウォークラフト回復ポーションセット"
"Pawprint","","","","≡ 魔兽敏捷猛药","≡ ウォークラフト敏捷ポーション"
"Pawprint","","","","≡ 魔兽敏捷药","≡ World of Warcraft 敏捷ポーション"
"Pawprint","","","","≡ 魔兽治愈套装","≡ ウォークラフトヒーリングセット"
"Pawprint","","","","≡ 魔兽烟雾弹","≡ ウォークラフト発煙弾"
"Pawprint","","","","≡ 魔兽特攻猛药","≡ ウォークラフト スペシャルアタックポーション"
"Pawprint","","","","≡ 魔兽特攻药","≡ ウォークラフト特攻薬"
"Pawprint","","","","≡ 魔兽眼药","≡ ウォークラフトの目薬"
"Pawprint","","","","≡ 魔兽硬肤药","≡ World of Warcraft ハードスキン ポーション"
"Pawprint","","","","≡ 魔兽缩时药","≡ World of Warcraft 時間短縮ポーション"
"Pawprint","","","","≡ 魔兽羽毛","≡ ウォークラフトの羽根"
"Pawprint","","","","≡ 魔兽耐力猛药","≡ ウォークラフト・エンデュランス・ポーション"
"Pawprint","","","","≡ 魔兽耐力药","≡ ウォークラフトスタミナポーション"
"Pawprint","","","","≡ 魔兽解毒药","≡ ウォークラフト解毒剤"
"Pawprint","","","","≡ 魔兽金针","≡ ウォークラフトの金針"
"Pawprint","","","","≡ 魔兽魔力猛药","≡ ウォークラフトの魔法のポーション"
"Pawprint","","","","≡ 魔兽魔力药","≡ ウォークラフトの魔法のポーション"
"Pawprint","","","","≡ 魔咒帽子","≡ チャームドハット"
"Pawprint","","","","≡ 黄金发饰","≡ ゴールドのヘアアクセサリー"
"Pawprint","","","","≡ 黑头巾","≡ 黒いターバン"
"Pawprint","","","","一次性凭证 · 签发后 30 秒有效","1回限りのバウチャー・発行後30秒間有効"
"Pawprint","","","","不使用道具",""
"Pawprint","","","","不喂食","餌を与えていない"
"Pawprint","","","","不在帐篷休息","テント内で休まない"
"Pawprint","","","","不明",""
"Pawprint","","","","不自动开怪","モンスターを自動で発動させない"
"Pawprint","","","","不花费斗兽币","獣コインはかかりません"
"Pawprint","","","","不获得装备","装備が手に入らない"
"Pawprint","","","","东拉诺西亚","東ラノシア"
"Pawprint","","","","中拉诺西亚","中央ラノシア"
"Pawprint","","","","中毒耐性+100%
受到伤害-10%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 咒具纲 死尸纲","毒耐性+100%
受けるダメージ -10%
以下のモンスターに適しています。
クラスエンサイクロペディア、クラスセンテノーラ、クラス翼虫類、クラス草本科、クラスアクアティカ、クラスオ爪虫、クラスカース、クラスネクロゾア"
"Pawprint","","","","中萨纳兰","中央サナランド"
"Pawprint","","","","为自身及周围队员附加“耐冰药”状态
耐冰药效果：50%几率使冰属性伤害无效并吸收
持续时间：15秒
该道具仅可在战斗地图中使用","自分と周囲のメンバーに「氷耐性の薬」状態を付与
氷耐性ポーションの効果：50%の確率で氷ダメージを無効化し吸収する
持続時間: 15秒
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","为自身及周围队员附加“耐冰药”状态
耐冰药效果：70%几率使冰属性伤害无效并吸收
持续时间：15秒
该道具仅可在战斗地图中使用","自分と周囲のメンバーに「氷耐性の薬」状態を付与
氷耐性ポーションの効果：70%の確率で氷ダメージを無効化し吸収する
持続時間: 15秒
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","为自身及周围队员附加“耐土药”状态
耐土药效果：50%几率使土属性伤害无效并吸收
持续时间：15秒
该道具仅可在战斗地图中使用","自分と周囲のチームメンバーに「土薬耐性」状態を付与
土耐性の薬効果：50％の確率で土属性ダメージを無効化し吸収
持続時間: 15秒
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","为自身及周围队员附加“耐土药”状态
耐土药效果：70%几率使土属性伤害无效并吸收
持续时间：15秒
该道具仅可在战斗地图中使用","自分と周囲のチームメンバーに「土薬耐性」状態を付与
土耐性の薬効果：70％の確率で土属性ダメージを無効化し吸収
持続時間: 15秒
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","为自身及周围队员附加“耐水药”状态
耐水药效果：50%几率使水属性伤害无效并吸收
持续时间：15秒
该道具仅可在战斗地图中使用","自分と周囲のチームメンバーに「耐水」ステータスを付与
耐水ポーション効果：50%の確率で水ダメージを無効化し吸収する
持続時間: 15秒
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","为自身及周围队员附加“耐水药”状态
耐水药效果：70%几率使水属性伤害无效并吸收
持续时间：15秒
该道具仅可在战斗地图中使用","自分と周囲のチームメンバーに「耐水」ステータスを付与
水耐性ポーション効果：70%の確率で水属性ダメージを無効化し吸収
持続時間: 15秒
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","为自身及周围队员附加“耐火药”状态
耐火药效果：50%几率使火属性伤害无效并吸收
持续时间：15秒
该道具仅可在战斗地图中使用","自分と周囲のチームメンバーに「耐火粉」状態を付与
耐火粉効果：50%の確率で火ダメージを無効化し吸収する
持続時間: 15秒
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","为自身及周围队员附加“耐火药”状态
耐火药效果：70%几率使火属性伤害无效并吸收
持续时间：15秒
该道具仅可在战斗地图中使用","自分と周囲のチームメンバーに「耐火粉」状態を付与
耐火粉効果：70%の確率で火属性ダメージを無効化し吸収する
持続時間: 15秒
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","为自身及周围队员附加“耐雷药”状态
耐雷药效果：50%几率使雷属性伤害无效并吸收
持续时间：15秒
该道具仅可在战斗地图中使用","自分と周囲のチームメンバーに「雷耐性」ステータスを付与
雷耐性効果：50%の確率で雷属性ダメージを無効化し吸収
持続時間: 15秒
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","为自身及周围队员附加“耐雷药”状态
耐雷药效果：70%几率使雷属性伤害无效并吸收
持续时间：15秒
该道具仅可在战斗地图中使用","自分と周囲のチームメンバーに「雷耐性」ステータスを付与
雷耐性効果：70%の確率で雷属性ダメージを無効化し吸収
持続時間: 15秒
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","为自身及周围队员附加“耐风药”状态
耐风药效果：50%几率使风属性伤害无效并吸收
持续时间：15秒
该道具仅可在战斗地图中使用","自身と周囲のチームメンバーに「耐風薬」状態を付与
風耐性ポーションの効果：50%の確率で風ダメージを無効化し吸収する
持続時間: 15秒
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","为自身及周围队员附加“耐风药”状态
耐风药效果：70%几率使风属性伤害无效并吸收
持续时间：15秒
该道具仅可在战斗地图中使用","自身と周囲のチームメンバーに「耐風薬」状態を付与
風耐性ポーションの効果：70%の確率で風ダメージを無効化し吸収する
持続時間: 15秒
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","为自身附加“商人之眼”状态
商人之眼效果：下一次完成战斗时的斗兽币获得量将变为2倍
持续时间：30分
该道具仅可在战斗地图中使用","自身に「商人の目」ステータスを付与する
商人の目効果：次のバトルクリア時に獲得できる獣コインの量が2倍になります。
所要時間: 30分
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","为自身附加“时之沙”状态
时之沙效果：战斗中败北后，会回到战斗开始前
持续时间：永久
该道具仅可在战斗地图中使用","自身に「時の砂」ステータスを追加する
時の砂の効果：戦闘で敗北すると戦闘開始前に戻ります。
期間: 永遠に
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","为自身附加“盗贼之眼”状态
盗贼之眼效果：下一次完成战斗时的战利品掉落率将变为3倍
持续时间：30分
该道具仅可在战斗地图中使用","自身に「盗賊の目」ステータスを付与する
Thief's Eye効果：次の戦闘が完了すると戦利品のドロップ率が3倍になります。
所要時間: 30分
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","为自身附加“盗贼的药”状态
盗贼的药效果：移动速度提高20%，回避率提高5%，中毒耐性提高100%
持续时间：永久，完成1次战斗后效果消失
该道具仅可在战斗地图中使用","自身に「盗賊の薬」ステータスを付与する
盗賊の薬効果：移動速度20％アップ、回避率5％アップ、毒耐性100％アップ
持続時間：永続、1戦闘終了で効果は消滅
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","为自身附加“自动恢复药”状态
自动恢复药效果：体力低于50%时自动恢复40%的体力，发动恢复效果后有50%的几率解除该状态，盗贼的药状态中解除几率变为10%
持续时间：150秒
追加效果：持有“盗贼上衣”时，持续时间将变为240秒
该道具仅可在战斗地图中使用","自身に「自動回復薬」ステータスを付与する
自動回復薬の効果：体力が50％以下の場合、体力を40％自動回復。回復効果発動後、50％の確率で状態が解除される。シーフの薬状態が解除される確率が10%になります。
持続時間: 150秒
追加効果：「シーフズジャケット」所持時、持続時間が240秒になる。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","为自身附加“自动治愈”状态
自动治愈效果：可免疫一次目标所受到的部分异常状态效果
持续时间：240秒
该道具仅可在战斗地图中使用","自身に「自動回復」状態を付与する
自動回復効果：対象が受ける一部の状態異常効果を一度耐性にすることができる
持続時間: 240秒
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","为自身附加“重生”状态
重生效果：陷入无法战斗状态时有70%的几率自动复活
持续时间：永久","自身に「転生」ステータスを付与する
復活効果：戦闘不能時、70％の確率で自動復活する。
期間: 永遠に"
